Station_name,State,District,Agency_name,Date,level,lat,long,Telemetry,Year
Besant Nagar,Tamil Nadu,Chennai,CGWB,2010-05-15,4.27,13.00138889,80.27,2,2010
Guindy(CLRI),Tamil Nadu,Chennai,CGWB,2010-05-15,3.3,13.02222222,80.225,2,2010
K.K.Nagar,Tamil Nadu,Chennai,CGWB,2010-05-15,3.3,13.04166667,80.20833333,2,2010
Tondiarpet,Tamil Nadu,Chennai,CGWB,2010-05-15,6.03,13.11666667,80.275,2,2010
Vallalar Nagar,Tamil Nadu,Chennai,CGWB,2010-05-15,6.4,13.10555556,80.28138889,2,2010
Vepery,Tamil Nadu,Chennai,CGWB,2010-05-15,4.7,13.08333333,80.27083333,2,2010
Tondiarpet,Tamil Nadu,Chennai,CGWB,2010-08-25,4.6,13.11666667,80.275,2,2010
K.K.Nagar,Tamil Nadu,Chennai,CGWB,2010-08-25,1.6,13.04166667,80.20833333,2,2010
Guindy(CLRI),Tamil Nadu,Chennai,CGWB,2010-08-25,3.2,13.02222222,80.225,2,2010
Besant Nagar,Tamil Nadu,Chennai,CGWB,2010-08-25,4.03,13.00138889,80.27,2,2010
Besant Nagar,Tamil Nadu,Chennai,CGWB,2010-11-05,3.92,13.00138889,80.27,2,2010
Guindy(CLRI),Tamil Nadu,Chennai,CGWB,2010-11-05,2.23,13.02222222,80.225,2,2010
Vallalar Nagar,Tamil Nadu,Chennai,CGWB,2010-11-05,4.95,13.10555556,80.28138889,2,2010
K.K.Nagar,Tamil Nadu,Chennai,CGWB,2010-11-05,1.6,13.04166667,80.20833333,2,2010
Tondiarpet,Tamil Nadu,Chennai,CGWB,2010-11-05,4.7,13.11666667,80.275,2,2010
Vepery,Tamil Nadu,Chennai,CGWB,2010-11-05,1.1,13.08333333,80.27083333,2,2010
Alwarpet,Tamil Nadu,Chennai,CGWB,2011-01-05,1.22,13.025,80.25833333,2,2011
Besant Nagar,Tamil Nadu,Chennai,CGWB,2011-01-05,2.79,13.00138889,80.27,2,2011
Guindy(CLRI),Tamil Nadu,Chennai,CGWB,2011-01-05,1.2,13.02222222,80.225,2,2011
K.K.Nagar,Tamil Nadu,Chennai,CGWB,2011-01-05,1.55,13.04166667,80.20833333,2,2011
Vepery,Tamil Nadu,Chennai,CGWB,2011-01-05,5.15,13.08333333,80.27083333,2,2011
Tondiarpet,Tamil Nadu,Chennai,CGWB,2011-01-05,3.2,13.11666667,80.275,2,2011
Vepery,Tamil Nadu,Chennai,CGWB,2011-05-15,2.15,13.08333333,80.27083333,2,2011
Tondiarpet,Tamil Nadu,Chennai,CGWB,2011-05-15,4.72,13.11666667,80.275,2,2011
Guindy(CLRI),Tamil Nadu,Chennai,CGWB,2011-05-15,3.38,13.02222222,80.225,2,2011
Vepery,Tamil Nadu,Chennai,CGWB,2011-08-25,1.72,13.08333333,80.27083333,2,2011
Guindy(CLRI),Tamil Nadu,Chennai,CGWB,2011-08-25,3.7,13.02222222,80.225,2,2011
Tondiarpet,Tamil Nadu,Chennai,CGWB,2011-08-25,5.3,13.11666667,80.275,2,2011
Tondiarpet,Tamil Nadu,Chennai,CGWB,2011-11-05,4.34,13.11666667,80.275,2,2011
Vepery,Tamil Nadu,Chennai,CGWB,2011-11-05,4.5,13.08333333,80.27083333,2,2011
Guindy(CLRI),Tamil Nadu,Chennai,CGWB,2011-11-05,0.78,13.02222222,80.225,2,2011
K.K.Nagar,Tamil Nadu,Chennai,CGWB,2011-11-05,0.6,13.04166667,80.20833333,2,2011
Vepery,Tamil Nadu,Chennai,CGWB,2012-01-05,4.61,13.08333333,80.27083333,2,2012
Guindy(CLRI),Tamil Nadu,Chennai,CGWB,2012-05-15,3.21,13.02222222,80.225,2,2012
K.K.Nagar,Tamil Nadu,Chennai,CGWB,2012-05-15,1.82,13.04166667,80.20833333,2,2012
"NITTR, Taramani",Tamil Nadu,Chennai,CGWB,2012-05-15,5.72,12.98333333,80.23333333,2,2012
Tondiarpet,Tamil Nadu,Chennai,CGWB,2012-05-15,5.05,13.11666667,80.275,2,2012
Vepery,Tamil Nadu,Chennai,CGWB,2012-05-15,8.04,13.08333333,80.27083333,2,2012
Adyar,Tamil Nadu,Chennai,CGWB,2012-05-15,1.72,13.01666667,80.26666667,2,2012
K.K.Nagar,Tamil Nadu,Chennai,CGWB,2012-11-05,1.38,13.04166667,80.20833333,2,2012
Besant Nagar,Tamil Nadu,Chennai,CGWB,2012-11-05,3.61,13.00138889,80.27,2,2012
Vepery,Tamil Nadu,Chennai,CGWB,2013-01-05,6.25,13.08333333,80.27083333,2,2013
Vallalar Nagar,Tamil Nadu,Chennai,CGWB,2013-01-05,6.8,13.10555556,80.28138889,2,2013
K.K.Nagar,Tamil Nadu,Chennai,CGWB,2013-01-05,2.1,13.04166667,80.20833333,2,2013
Guindy(CLRI),Tamil Nadu,Chennai,CGWB,2013-01-05,3.25,13.02222222,80.225,2,2013
